,Name,Hometown,High School,Year,sport
227,Brandon Ng," Toronto, Canada", Upper Canada College,2012,mens-golf
228,Cyrus Stewart," Raleigh, NC", Broughton,2012,mens-golf
229,John Varol," Waxhaw, NC", Covenant Day School,2012,mens-golf
230,Andrew Winters," Houston, Texas", The Kinkaid School,2012,mens-golf
231,Davis Womble," High Point, N.C.", Wesleyan Christian Academy,2012,mens-golf
232,Ben Balter," Wellesley, Mass.", Community School of Naples,2013,mens-golf
235,Danny Guise," Greenwich, Conn.", Greenwich,2013,mens-golf
239,Clancy Waugh," North Palm Beach, Fla.", The Benjamin School,2013,mens-golf
242,Woody Woodward," Bridgeport, W.V.", Hilton Head Prep,2013,mens-golf
245,Paul McBride," Malahide, Dublin, Ireland",,2014,mens-golf
247,Tanner Owen," High Point, N.C.", Bishop McGuinness,2014,mens-golf
253,Will Zalatoris," Plano, Texas", Trinity Christian Academy,2014,mens-golf
255,Lee Detmer," Washington, D.C.", St. Albans School,2015,mens-golf
258,Kyle Sterbinsky," Yardley, Pa.", The Peddie School,2015,mens-golf
263,Cameron Young," Scarborough, N.Y.", Fordham Prep,2015,mens-golf
265,Eric Bae," Pinehurst, N.C.", Pinecrest,2016,mens-golf
268,Charlie Kennerly," Jupiter, Fla.", The Benjamin School,2016,mens-golf
276,Kengo Aoshima," Tokyo, Japan", Iolani School,2018,mens-golf
278,Eugenio Chacarra," Madrid, Spain", International College Spain,2018,mens-golf
280,Alex Fitzpatrick," Sheffield, England", Tapton,2018,mens-golf
281,Parker Gillam," Cary, N.C.", St. David's School,2018,mens-golf
284,Marco Steyn," Johannesburg, South Africa", Tuks Sport,2018,mens-golf
285,Jared Wilson," Columbiana, Ohio", Columbiana,2018,mens-golf
292,Mark Power," Kilkenny, Ireland", Christian Brothers Secondary School,2019,mens-golf
293,Daniel Sheedy," San Mateo, Calif.", St. Ignatius College Preparatory,2019,mens-golf
294,Fulton Smith," Pinehurst, N.C.", The O'Neal School,2019,mens-golf
297,Michael Brennan," Leesburg,Va.", Tuscarora High School,2020,mens-golf
301,BJ Rogillio," Baton Rouge, La.", Parkview Baptist School,2020,mens-golf
305,Clay Stirsman," Carmel, Ind.", Carmel High School,2020,mens-golf
306,Collin Adams," Charlotte, NC", Charlotte Latin School,2021,mens-golf
